FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
56017,Hot Springs County,WY,30.5,3506.0
09003,Hartford County,CT,26.1,705457.0
01049,DeKalb County,AL,9.4,54392.0
37101,Johnston County,NC,18.8,156585.0
13207,Monroe County,GA,1.7,21985.0
05021,Clay County,AR,20.8,11465.0
18081,Johnson County,IN,22.5,119315.0
48455,Trinity County,TX,0.0,11764.0
48477,Washington County,TX,0.0,28217.0
17109,McDonough County,IL,21.3,24559.0
13261,Sumter County,GA,14.9,22842.0
53069,Wahkiakum County,WA,23.2,3720.0
40025,Cimarron County,OK,18.5,1591.0
16037,Custer County,ID,23.3,3574.0
48217,Hill County,TX,0.0,28169.0
48295,Lipscomb County,TX,0.0,2414.0
56031,Platte County,WY,17.1,6691.0
51157,Rappahannock County,VA,11.9,6174.0
24017,Charles County,MD,17.1,124396.0
45067,Marion County,SC,18.9,23752.0
13229,Pierce County,GA,10.8,14696.0
72119,Rio Grande Municipio,PR,13.1,39413.0
72125,San German Municipio,PR,15.1,24806.0
18151,Steuben County,IN,27.7,27623.0
72089,Luquillo Municipio,PR,10.1,14497.0
72025,Caguas Municipio,PR,16.1,102260.0
08033,Dolores County,CO,7.1,1655.0
53049,Pacific County,WA,28.7,19033.0
37155,Robeson County,NC,15.6,98425.0
05105,Perry County,AR,20.4,8097.0
13199,Meriwether County,GA,7.4,16718.0
05083,Logan County,AR,17.5,16897.0
56035,Sublette County,WY,18.2,7662.0
20203,Wichita County,KS,38.5,1562.0
53015,Cowlitz County,WA,17.6,85425.0
37127,Nash County,NC,21.0,73765.0
30001,Beaverhead County,MT,24.4,7812.0
27093,Meeker County,MN,22.9,17619.0
48299,Llano County,TX,0.0,18499.0
48347,Nacogdoches County,TX,0.0,50203.0
46045,Edmunds County,SD,12.8,2946.0
37189,Watauga County,NC,23.8,49022.0
18007,Benton County,IN,16.8,6557.0
42023,Cameron County,PA,29.7,3661.0
29085,Hickory County,MO,18.5,7947.0
72117,Rincon Municipio,PR,9.7,11207.0
12133,Washington County,FL,11.9,20398.0
06061,Placer County,CA,26.0,310382.0
37125,Moore County,NC,31.4,79328.0
38029,Emmons County,ND,21.9,2608.0
53041,Lewis County,WA,16.4,63499.0
12021,Collier County,FL,26.3,320147.0
50001,Addison County,VT,18.2,30721.0
27165,Watonwan County,MN,23.7,8254.0
18117,Orange County,IN,29.3,15178.0
35013,Dona Ana County,NM,16.6,165267.0
18069,Huntington County,IN,24.2,28633.0
18013,Brown County,IN,22.7,12486.0
13233,Polk County,GA,0.9,31800.0
53043,Lincoln County,WA,24.2,8561.0
18137,Ripley County,IN,23.0,21705.0
48297,Live Oak County,TX,0.0,9786.0
48231,Hunt County,TX,0.0,75098.0
48091,Comal County,TX,0.0,121086.0
55085,Oneida County,WI,29.4,29526.0
38063,Nelson County,ND,47.5,2322.0
45075,Orangeburg County,SC,18.2,67448.0
38099,Walsh County,ND,26.8,8197.0
48135,Ector County,TX,0.0,115893.0
13113,Fayette County,GA,11.4,88100.0
22077,Pointe Coupee Parish,LA,22.9,17084.0
29211,Sullivan County,MO,21.2,4725.0
17017,Cass County,IL,30.6,9186.0
05091,Miller County,AR,4.5,33187.0
35015,Eddy County,NM,13.9,42946.0
26159,Van Buren County,MI,18.9,58196.0
51105,Lee County,VA,18.2,19101.0
18015,Carroll County,IN,14.2,15790.0
20195,Trego County,KS,27.7,2310.0
31185,York County,NE,20.5,10502.0
51063,Floyd County,VA,2.4,12702.0
26073,Isabella County,MI,14.4,57748.0
18153,Sullivan County,IN,20.6,16744.0
47089,Jefferson County,TN,16.5,44051.0
01063,Greene County,AL,14.5,6343.0
26149,St. Joseph County,MI,18.0,46253.0
12123,Taylor County,FL,15.4,17310.0
41063,Wallowa County,OR,23.5,5855.0
01111,Randolph County,AL,14.3,17925.0
21079,Garrard County,KY,18.0,13759.0
26047,Emmet County,MI,32.8,27161.0
55123,Vernon County,WI,27.6,22811.0
27163,Washington County,MN,23.9,198767.0
